City;State;US News Rank;Text;Overall Score;Quality of Life;Value
Austin;TX;1;People are drawn to the Texas capital's music, outdoor spaces and cultural institutions. Austin was established along the Colorado ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.6;7.3;6.7
Denver;CO;2;Founded in the mid-1800s as a mining hub during the gold rush, Denver has come a long way since its Wild West days. Over time, its ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.4;7.0;6.7
Colorado Springs;CO;3;Colorado Springs might not jump off the map as an economic or cultural hub the way larger metro areas like Denver do. But in a quie... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.4;7.0;6.6
Fayetteville;AR;4;Located in a region that's experiencing drastic growth, Fayetteville – together with Bentonville, Rogers and Springdale – has trans... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;7.5;8.2
Des Moines;IA;5;The capital of this so-called flyover state may not top your to-visit list, but Des Moines is a great place to live and raise a fam... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;7.0;8.4
Minneapolis;MN;6;Minneapolis and St. Paul not only have big-city amenities like museums and sports stadiums, but also have an approachable Midwester... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;7.1;7.7
San Francisco;CA;7;A beautiful region filled with iconic landmarks, independently owned businesses and trendsetting residents, San Francisco has long ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.3;6.8;4.9
Portland;OR;8;Portland's population toes the line between an innocent playfulness and a shameless wild side. Naked bicycle rides, a fully costume... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.2;6.7;6.0
Seattle;WA;9;To answer the question on many people's mind: "No, it doesn't rain all the time." Seattle gets less rain annually than Boston, New ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.2;6.6;5.9
Raleigh;NC;10;Raleigh, Durham and Chapel Hill are known for their research/technology roots and collegiate rivalries. This tri-city region (known... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.2;6.9;7.7
Huntsville;AL;11;Once a sleepy farming town, Huntsville gained national recognition during the Space Race of the 1960s and is now the fastest-growin... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;6.6;8.8
Madison;WI;12;Against a backdrop of high-tech businesses and acclaimed academic institutions, Madison, Wisconsin, exudes the casual, down-to-eart... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;7.5;6.9
Grand Rapids;MI;13;Grand Rapids has an affinity for public art, and its craft brewery scene is one of the best in the nation. A scenic spot perched on... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;7.6;8.1
San Jose;CA;14;Nicknamed the capital of Silicon Valley, San Jose is a diverse area with an innovative spirit. While it has a distinct downtown, Sa... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;7.6;5.4
Nashville;TN;15;Nashville is famous for the Grand Ole Opry, the Ryman Auditorium, aka the Mother Church of Country Music, and twangy honky-tonks, b... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;6.1;7.1
Asheville;NC;16;Hailed as "The Land of the Sky," Asheville, North Carolina, is often considered by outsiders to be a delightfully strange place. At... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;7.5;6.4
Boise City;ID;17;Boise is a recreationalist's paradise. If you value the outdoors and time spent among rivers, mountains, canyons, deserts and lakes... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.1;7.2;7.1
Sarasota;FL;18;Warm temperatures year-round, award-winning beaches and a thriving arts and cultural scene have made Sarasota a go-to place for ret... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.0;7.4;5.7
Washington;DC;19;To the rest of the country, Washington, D.C., is the nation's capital – and that's it. It's where lawmakers sit high and mighty, an... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.0;6.6;6.5
Charlotte;NC;20;Charlotte is a region that's equal parts old-fashioned southern charm and high-energy cosmopolitan bustle. You'll still hear "y'all... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.0;6.5;7.5
Dallas;TX;21;Offering both big-city excitement and quiet, suburban living, the Dallas-Fort Worth metro area offers an interesting mix of Texas p... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.0;6.7;7.1
Greenville;SC;22;Situated in the foothills of the Blue Ridge Mountains, Greenville has transformed from a blip on the national map to a bustling met... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.0;6.8;7.7
Portland;ME;23;For the people of Maine, there is only one Portland. Maine's largest metro area and economic hub features cobblestone streets and s... more at https://realestate.usnews.com/places/rankings/best-places-to-live;7.0;7.6;6.4
Salt Lake City;UT;24;While remnants of its Mormon heritage – including the striking Salt Lake Temple – are still prominent downtown, Salt Lake City is n... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.9;6.9;7.4
Melbourne;FL;25;Troves of urbanites, families, professionals and retirees enjoy Melbourne, Florida, one of the Space Coast's most populated metro a... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.9;7.4;6.1
Phoenix;AZ;26;Nicknamed the "Valley of the Sun," the Greater Phoenix area sees more sunshine than any other metro area in the country. That in an... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.9;6.4;6.6
Boston;MA;27;Boston often feels like a small town with all the perks of city life. The metro area features a diverse culinary scene, access to t... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.9;7.0;5.7
Albany;NY;28;Located about 150 miles north of New York City on the west bank of the Hudson River, Albany serves as the capital of New York state... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.9;7.2;7.1
Lexington;KY;29;Lexington blends influences from the South and Midwest to create a cultural identity all its own. A college town, Lexington is home... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.9;6.9;7.7
Houston;TX;30;The Houston metro area attracts people with an entrepreneurial spirit and those who want to work at some of the country's largest c... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.8;6.5;7.1
Winston-Salem;NC;31;Winston-Salem, which locals refer to as Winston, is a region on an upward trajectory that still maintains its Southern roots. Altho... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.8;6.5;7.3
Omaha;NE;32;Omaha has long been a place of convergence. In the mid-1800s, it served as the easternmost point of the first transcontinental rail... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.8;6.7;7.8
Reno;NV;33;Although it often plays second fiddle to Las Vegas, Reno, Nevada, may be the more attractive option for those considering a move to... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.8;7.4;6.4
San Antonio;TX;34;San Antonio is as comfortable as an old pair of jeans. It offers big-city amenities and world-renowned attractions coupled with a r... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.8;6.5;6.8
Fort Myers;FL;35;For many years the Southwest Gulf Coast's population had little growth and remained somewhat isolated from the rest of the Sunshine... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.8;6.5;5.2
San Diego;CA;36;San Diego residents recognize how fortunate they are to live in an area famous for its sunny weather and impressive beaches. But th... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.8;7.5;3.7
Pensacola;FL;37;Bordering Escambia Bay and Pensacola Bay, the Pensacola metro area is a blend of history and nature. Native Americans have lived in... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.5;6.5
Indianapolis;IN;38;Indianapolis is a great place to visit. But what makes Indy such a splendid place to stop over makes it an even better place to liv... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.1;8.1
Cincinnati;OH;39;Although Cincinnati is often perceived as a sleepy Midwestern metro area, residents benefit from a wealth of amenities, including m... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.5;7.9
Fort Wayne;IN;40;With its low cost of living and quiet neighborhoods, Fort Wayne, Indiana, is an excellent place to buy a house, start a career, lau... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.2;8.7
Lansing;MI;41;Lansing, Michigan, is a diverse metropolitan area where you can go from a college campus to a waving wheat field in 10 minutes. Res... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;7.1;7.4
Jacksonville;FL;42;Jacksonville is the largest metro area by land mass in the continental U.S., and it offers a range of culturally and aesthetically ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.6;6.3
Manchester;NH;43;Surrounded by rolling mountain ranges and verdant forests, Manchester is the largest metropolitan area in New Hampshire and home to... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;7.1;6.4
Harrisburg;PA;44;The great outdoors are easily accessible in Harrisburg: Pennsylvania's capital. Bikers and runners take in the scenery of the Susqu... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.9;7.4
Charleston;SC;45;There is no place quite like Charleston. The region features a unique blend of historic preservation and new development, displayed... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.5;6.2
Knoxville;TN;46;Knoxville, Tennessee, is proud to claim Daniel Boone, and has evolved into a multicultural community that embraces an array of inte... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.2;7.4
Hartford;CT;47;Don't let the historic architecture fool you: Even as one of the oldest metro areas in America, Hartford, Connecticut, has a lot to... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;7.2;6.4
Lancaster;PA;48;Lancaster, Pennsylvania, offers a balance between natural and commercial spaces that residents appreciate. Expansive farms rub elbo... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;7.7;6.7
Kansas City;MO;49;The country's images of the Midwest and Kansas City, like flyover country, cow town and endless open prairies, negate the truth: th... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.2;7.7
Pittsburgh;PA;50;Known by nicknames like Blitzburgh and Steel City, Pittsburgh is on the verge of greater heights. Emerging from a dying steel indus... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.3;8.2
Columbus;OH;51;Columbus, Ohio, is perhaps best-known for its unbridled passion for college football. It's true that the fierce loyalty for the Ohi... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.4;7.5
Buffalo;NY;52;In the early 1900s, Buffalo was a beacon of industry located on Lake Erie, Buffalo was a hub of transport for goods between the Ea... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.9;7.9
Richmond;VA;53;More than 7 million tourists visit the Greater Richmond region each year to explore its rich American history. Patrick Henry gave h... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;6.2;6.9
Syracuse;NY;54;When you hear someone mention Syracuse, New York, it's likely that they're making a weather-related joke. Snow is certainly a part ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.7;7.1;7.7
Chattanooga;TN;55;In many ways, Chattanooga is the comeback kid of Tennessee. Once called "the dirtiest city in America" by Walter Cronkite, Chattano... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.6;6.1;7.5
Tampa;FL;56;Residents of the Tampa Bay area enjoy both a laid-back beach lifestyle and the amenities of a large metropolitan area, including pr... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.6;6.9;5.7
Atlanta;GA;57;Sure, the sweet tea abounds and it's common to hear the occasional "y'all" in casual conversation, but Atlanta has long been redefi... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.6;5.9;6.8
Rochester;NY;58;Rochester, New York's third-largest metropolitan area, features a unique blend of history and innovation. Many of the homes and com... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.6;7.4;7.0
Lakeland;FL;59;Aptly named for its 38 stunning lakes, Lakeland is infused with Old Florida history and natural beauty. Remnants of Lakeland's past... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.6;6.9;6.0
Honolulu;HI;60;Honolulu continues to entice visitors to make their vacation a permanent one. With its laid-back island vibe, diverse blend of cult... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.6;6.4;4.0
Milwaukee;WI;61;Historical architecture stands as a tribute to Milwaukee's past, while the metro area vibrates from the construction of a changing ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.7;6.6
Worcester;MA;62;A vibrant and diverse community nicknamed The Heart of the Commonwealth, Worcester, Massachusetts, is located approximately an hour... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;7.0;6.5
Orlando;FL;63;When travelers say they're going to Orlando, the question is, "Which one?" There's downtown Orlando, the seat of Orange County gove... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.8;5.1
Louisville;KY;64;Sitting along the Ohio River, which divides the northern and the southern U.S., Louisville is a modern metropolitan area steeped in... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.0;7.9
Spokane;WA;65;With a river running right through downtown and landscapes ranging from basalt columns to mountain lakes, Washington state's second... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.7;6.5
Greensboro;NC;66;Greensboro, North Carolina, is one of those places that's big enough to have everything you need but small enough for you to regula... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.6;7.2
Columbia;SC;67;Columbia, South Carolina, is a traditionally Southern place with a modern twist. The abundance of oak, pecan and magnolia trees hel... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.1;7.2
Oklahoma City;OK;68;Oklahoma City's revitalization, strong economy and low housing prices attract a variety of people, including singles, young familie... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;5.9;7.5
Dayton;OH;69;Dayton offers both a revamped downtown area full of unique activities, and suburbs that provide close-knit communities for the many... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.6;7.5
Anchorage;AK;70;Anchorage is a place where outdoor adventures and modern amenities work in tandem. Founded in 1914, the young, thriving, culturally... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.2;7.1
Las Vegas;NV;71;Las Vegas has a reputation as an adults-only playground thanks to an iconic stretch of Las Vegas Boulevard. However, just beyond th... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;5.7;5.7
Augusta;GA;72;Located near the South Carolina border, Augusta, Georgia, is the state's second largest metropolitan area. Most out-of-towners reco... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;6.4;7.1
Santa Barbara;CA;73;It has been described as the "American Riviera," a "playground for the rich and famous" and, quite simply, "paradise." Situated bet... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;7.8;3.7
Santa Rosa;CA;74;Santa Rosa, the hub of economic activity in northern California's wine country, welcomes artists of all ages, as well as young peop... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.5;7.5;4.3
Myrtle Beach;SC;75;Although it's better known to outsiders as a vacation hot spot for beachgoers and golfers, Myrtle Beach, South Carolina, is also an... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.4;6.4;5.6
Tucson;AZ;76;Tucson is an example of how a place can be constantly transforming without losing sight of its roots. A sprawling metro area in sou... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.4;6.6;6.2
Salem;OR;77;From the historic downtown area to the vineyard-covered Willamette Valley countryside, Salem, Oregon, provides a peaceful setting a... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.4;6.5;6.1
Port St. Lucie;FL;78;Port St. Lucie is nestled along Florida's Treasure Coast, along the state's southeast side, about halfway between Miami and Orlando... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.4;6.9;4.7
Wichita;KS;79;What started out as an 1860s Trading Post has since grown into a metropolitan area of nearly 645,000 people. Wichita, Kansas, which... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.4;6.0;7.7
Springfield;MO;80;Nicknamed the "Queen City of the Ozarks" and known as the birthplace of Route 66, Springfield is the metro hub for southwest Missou... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;5.8;7.3
St. Louis;MO;81;St. Louis is a historic metro area of 2.8 million with a family-friendly reputation and tight-knit communities. St. Louisans are lo... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;5.4;7.7
Sacramento;CA;82;Many people think Sacramento's best attribute is that it's located a few hours from exciting destinations like San Francisco and La... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;6.7;5.2
Tulsa;OK;83;Once considered the oil capital of the world, "T-Town" has developed into a vibrant (albeit small), modern metro area of more than ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;5.6;7.7
Reading;PA;84;Reading, Pennsylvania's history is steeped in innovation. The metro area is home to the real-life Reading Railroad from the Monopol... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;6.8;6.7
Cleveland;OH;85;Once a haven for immigrants and a powerhouse of industry, Cleveland's cultural identity springs from its past and includes a vibran... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;6.1;7.4
Springfield;MA;86;Resting along the banks of the Connecticut River, Springfield, Massachusetts, is located on the southern doorstep of the Pioneer Va... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;7.1;5.9
York;PA;87;York, Pennsylvania, may not have a towering skyline, but when it comes to historical punching power, this small metro area (dubbed ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;6.5;6.9
Little Rock;AR;88;You may know Little Rock, Arkansas, as the home of Bill and Hillary Clinton and the Clinton Presidential Library. Or perhaps you kn... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;5.6;7.7
Birmingham;AL;89;Birmingham, Alabama, a metropolitan area born from the iron and steel industry, is known for playing a crucial role in the civil ri... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;5.7;7.3
New York;NY;90;New York City is America's largest metro area, home to nearly 21 million people speaking more than 200 languages. It's a place writ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;6.4;3.6
Providence;RI;91;Providence is a culturally diverse metro area home to young professionals and artists, characterized by a quaint New England vibe. ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;6.5;5.7
Detroit;MI;92;Detroit is steeped in history, culture and innovation. This Michigan metro area, which borders Canada, was settled by French explor... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.3;5.9;7.3
Allentown;PA;93;A quiet architectural renaissance has blossomed in Pennsylvania's third-largest metro area. Much of Allentown's charm comes from it... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.2;6.6;6.3
Toledo;OH;94;"You will do better in Toledo," say the signs by roads into the downtown area. The slogan, which was introduced in 1913, represents... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.2;6.5;7.5
New Haven;CT;95;New England charm and global cosmopolitanism combine in this small, livable seaside metropolitan area. Centuries-old architecture h... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.2;7.0;5.2
Lafayette;LA;96;In 2014, Lafayette was named the happiest city in America by MarketWatch, a financial news website, which took the country by surpr... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.2;5.4;8.1
Youngstown;OH;97;Located halfway between Pittsburgh and Cleveland, Youngstown is still reflective of the steel industry's collapse in the 1970s. But... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.2;6.3;7.8
Scranton;PA;98;Scranton may be the sixth-largest metropolitan area in Pennsylvania, but the close-knit neighborhoods that surround the vibrant dow... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.2;6.5;7.1
Daytona Beach;FL;99;The Daytona Beach population swells and wanes like the ocean tide. Every winter, the region's beaches overflow with tourists lookin... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;6.7;4.5
Baltimore;MD;100;Baltimore doesn't have as many famous tourist attractions as nearby metropolitan areas like Washington, D.C., and Philadelphia, and... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;5.3;6.6
Killeen;TX;101;Located in the heart of central Texas, Killeen is a family-friendly city with a thriving economy fueled by Fort Hood, one of the la... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;6.1;7.1
Philadelphia;PA;102;Philadelphia offers a unique setting for an eclectic mix of modern lifestyles, mingling both the edgy and the sophisticated. Histor... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;5.7;6.1
Virginia Beach;VA;103;Despite Virginia Beach's resort city status, the friendly residents and relaxed atmosphere found in this part of southern Virginia ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;6.2;5.5
Chicago;IL;104;The Magnificent Mile, Millennium Park and the Willis Tower may blow many visitors away, but for those who live in the Windy City, t... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;5.7;6.0
Corpus Christi;TX;105;Tucked away in southern Texas, Corpus Christi is a place where you're much more likely to see bicyclers in flip flops than dirt-kic... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;6.3;6.5
Albuquerque;NM;106;Perhaps best known for the annual Albuquerque International Balloon Fiesta and as the setting for AMC's hit show "Breaking Bad," Al... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;5.9;6.4
Los Angeles;CA;107;Although the City of Angels is characterized as both a glamorous show business town and a traffic-gnarled metropolis, the truth abo... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.1;6.6;3.3
Beaumont;TX;108;Along with neighboring cities Port Arthur and Orange, Beaumont makes up southeast Texas' Golden Triangle, a moniker that means busi... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.0;6.0;7.2
Baton Rouge;LA;109;Baton Rouge, the ever-expanding capital of Louisiana, increasingly absorbs the flavor of New Orleans without adopting the bustle of... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.0;4.5;8.0
El Paso;TX;110;It's easy to write El Paso, Texas, off as another southern cow town. Sure, you'll find an overwhelming number of steakhouses here, ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;6.0;7.3;5.8
Jackson;MS;111;In its heyday, Jackson, Mississippi, was the soul of the American music industry. Renowned R&B, blues and jazz singers such as Art ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.9;5.3;7.3
McAllen;TX;112;Despite its reputation as a mere border town, McAllen, Texas, is a very vibrant metro area and a major center for retail, internati... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.9;7.6;5.4
Miami;FL;113;Dubbed "The Magic City," Miami is one of the most vibrant metro areas in the U.S., and it's well on its way to becoming one of the ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.8;6.9;2.9
New Orleans;LA;114;In the midst of a post-Hurricane Katrina renaissance, New Orleans charms visitors and locals alike with its music, diverse cuisine ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.7;4.8;5.4
Flint;MI;115;Established in 1819, Flint quickly became one of the region's primary lumbering areas. Soon afterward, the money made from lumber w... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.7;5.5;6.5
Brownsville;TX;116;Located at the southernmost tip of Texas, the Brownsville metro area marks the point where Texas meets both Mexico and the Gulf of ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.7;7.6;5.4
Salinas;CA;117;Salinas, California, promotes itself as the "Salad Bowl of the World" as tribute to the area's huge farming business that produces ... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.6;6.8;3.8
Memphis;TN;118;Set in the Mississippi Delta, Memphis is a metro area where the energy of urban living melds with the slow rhythms of the rural Sou... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.6;4.6;6.3
Fresno;CA;119;Fresno started out as a small stop along the Central Pacific Railroad, but it has blossomed into a magnetic metropolis that draws a... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.5;6.2;4.9
Modesto;CA;120;Modesto, California, attracts those looking for the balance created by a culturally rich city center that's surrounded by quiet res... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.5;5.9;4.8
Mobile;AL;121;This laid-back waterfront metropolitan area often feels like a mini New Orleans, complete with a Mardi Gras tradition, historic nei... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.5;4.7;6.3
Shreveport;LA;122;The identity of Shreveport, Louisiana, unlike New Orleans, is not rooted in Cajun-Creole traditions, but in a blended Southern cult... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.4;5.2;6.4
Stockton;CA;123;Home to more than 700,000 residents, Stockton, California, has a diverse community and access to everything from Japanese grocery s... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.4;5.6;4.7
Bakersfield;CA;124;Bakersfield has long been known as a stopover for those traveling between Los Angeles and San Francisco. But people who consider pu... more at https://realestate.usnews.com/places/rankings/best-places-to-live;5.3;5.6;5.5
San Juan;PR;125;Formally established in 1521, San Juan is the oldest continuously occupied European-settled metropolitan area within U.S. jurisdict... more at https://realestate.usnews.com/places/rankings/best-places-to-live;3.2;2.8;2.5
